Part_ID,Date,Time,Level,Throw Number,Error,Success(Y/N),Time Stamp
366,07/20,7/20/2020 7:34:32 PM,Practice,1,0.8070681,No,7/20/2020 7:34:32 PM
366,07/20,7/20/2020 7:34:35 PM,Practice,2,0.7298802,No,7/20/2020 7:34:35 PM
366,07/20,7/20/2020 7:34:38 PM,Practice,3,1.496138,No,7/20/2020 7:34:38 PM
366,07/20,7/20/2020 7:34:41 PM,Practice,4,0.3600885,No,7/20/2020 7:34:41 PM
366,07/20,7/20/2020 7:34:44 PM,Practice,5,0.9611313,No,7/20/2020 7:34:44 PM
366,07/20,7/20/2020 7:34:47 PM,Practice,6,0.9611313,Yes,7/20/2020 7:34:47 PM
366,07/20,7/20/2020 7:34:50 PM,Practice,7,0.9611313,Yes,7/20/2020 7:34:50 PM
366,07/20,7/20/2020 7:34:53 PM,Practice,8,0.5091797,No,7/20/2020 7:34:53 PM
366,07/20,7/20/2020 7:34:57 PM,Practice,9,0.6948653,No,7/20/2020 7:34:57 PM
366,07/20,7/20/2020 7:35:00 PM,Practice,10,0.4064615,No,7/20/2020 7:35:00 PM
367,07/20,7/20/2020 7:45:24 PM,Practice,1,1.431839,No,7/20/2020 7:45:24 PM
367,07/20,7/20/2020 7:45:27 PM,Practice,2,1.431839,Yes,7/20/2020 7:45:27 PM
367,07/20,7/20/2020 7:45:30 PM,Practice,3,0.4139819,No,7/20/2020 7:45:30 PM
367,07/20,7/20/2020 7:45:33 PM,Practice,4,0.9702395,No,7/20/2020 7:45:33 PM
367,07/20,7/20/2020 7:45:36 PM,Practice,5,0.2805102,No,7/20/2020 7:45:36 PM
367,07/20,7/20/2020 7:45:39 PM,Practice,6,0.6445315,No,7/20/2020 7:45:39 PM
367,07/20,7/20/2020 7:45:42 PM,Practice,7,0.7973974,No,7/20/2020 7:45:42 PM
367,07/20,7/20/2020 7:45:45 PM,Practice,8,0.7973974,Yes,7/20/2020 7:45:45 PM
367,07/20,7/20/2020 7:45:49 PM,Practice,9,1.714118,No,7/20/2020 7:45:49 PM
367,07/20,7/20/2020 7:45:52 PM,Practice,10,1.003954,No,7/20/2020 7:45:52 PM
369,07/20,7/20/2020 7:46:38 PM,Practice,1,1.205815,No,7/20/2020 7:46:38 PM
369,07/20,7/20/2020 7:46:41 PM,Practice,2,0.7161933,No,7/20/2020 7:46:41 PM
369,07/20,7/20/2020 7:46:44 PM,Practice,3,0.3611418,No,7/20/2020 7:46:44 PM
369,07/20,7/20/2020 7:46:47 PM,Practice,4,1.747843,No,7/20/2020 7:46:47 PM
369,07/20,7/20/2020 7:46:51 PM,Practice,5,1.082431,No,7/20/2020 7:46:51 PM
369,07/20,7/20/2020 7:46:54 PM,Practice,6,0.6623498,No,7/20/2020 7:46:54 PM
369,07/20,7/20/2020 7:46:57 PM,Practice,7,1.423041,No,7/20/2020 7:46:57 PM
369,07/20,7/20/2020 7:47:00 PM,Practice,8,0.3955637,No,7/20/2020 7:47:00 PM
369,07/20,7/20/2020 7:47:03 PM,Practice,9,0.2963756,No,7/20/2020 7:47:03 PM
369,07/20,7/20/2020 7:47:07 PM,Practice,10,0.2963756,Yes,7/20/2020 7:47:07 PM
370,07/20,7/20/2020 7:50:48 PM,Practice,1,1.048577,No,7/20/2020 7:50:48 PM
370,07/20,7/20/2020 7:50:51 PM,Practice,2,1.048577,Yes,7/20/2020 7:50:51 PM
370,07/20,7/20/2020 7:50:54 PM,Practice,3,0.4427494,No,7/20/2020 7:50:54 PM
370,07/20,7/20/2020 7:50:58 PM,Practice,4,1.478916,No,7/20/2020 7:50:58 PM
370,07/20,7/20/2020 7:51:01 PM,Practice,5,0.3233968,No,7/20/2020 7:51:01 PM
370,07/20,7/20/2020 7:51:03 PM,Practice,6,0.3096246,No,7/20/2020 7:51:03 PM
370,07/20,7/20/2020 7:51:06 PM,Practice,7,0.3800498,No,7/20/2020 7:51:06 PM
370,07/20,7/20/2020 7:51:10 PM,Practice,8,1.452951,No,7/20/2020 7:51:10 PM
370,07/20,7/20/2020 7:51:13 PM,Practice,9,1.558897,No,7/20/2020 7:51:13 PM
370,07/20,7/20/2020 7:51:16 PM,Practice,10,0.6937413,No,7/20/2020 7:51:16 PM
371,07/20,7/20/2020 7:58:39 PM,Practice,1,0,Yes,7/20/2020 7:58:39 PM
371,07/20,7/20/2020 7:58:42 PM,Practice,2,1.544017,No,7/20/2020 7:58:42 PM
371,07/20,7/20/2020 7:58:44 PM,Practice,3,1.544017,Yes,7/20/2020 7:58:44 PM
